# OCP data for Sony Graphite negative electrode, lithiation
# sto,ocp
0.011016,0.570199
0.011071,0.569436
0.011125,0.568672
0.011180,0.567719
0.011235,0.566956
0.011289,0.566002
0.011344,0.565239
0.011398,0.564476
0.011453,0.563713
0.011507,0.562950
0.011562,0.561996
0.011616,0.561233
0.011671,0.560279
0.011725,0.559516
0.011780,0.558943
0.011834,0.557990
0.011889,0.557227
0.011943,0.556463
0.011998,0.555700
0.012053,0.554937
0.012107,0.554174
0.012162,0.553411
0.012216,0.552648
0.012271,0.551694
0.012325,0.550931
0.012380,0.550359
0.012434,0.549405
0.012489,0.548833
0.012543,0.547879
0.012598,0.547307
0.012652,0.546544
0.012707,0.545781
0.012762,0.545018
0.012816,0.544254
0.012871,0.543491
0.012925,0.542728
0.012980,0.541965
0.013034,0.541202
0.013089,0.540630
0.013143,0.539867
0.013198,0.539104
0.013252,0.538532
0.013307,0.537768
0.013361,0.537005
0.013416,0.536242
0.013470,0.535479
0.013525,0.534907
0.013580,0.534144
0.013634,0.533572
0.013689,0.532809
0.013743,0.532045
0.013798,0.531473
0.013852,0.530710
0.013907,0.529947
0.013961,0.529375
0.014016,0.528612
0.014070,0.527849
0.014125,0.527276
0.014179,0.526513
0.014234,0.525941
0.014289,0.525178
0.014343,0.524606
0.014398,0.523843
0.014452,0.523270
0.014507,0.522507
0.014561,0.521935
0.014616,0.521172
0.014670,0.520600
0.014725,0.519836
0.014779,0.519264
0.014834,0.518501
0.014888,0.517929
0.014943,0.517166
0.014997,0.516593
0.015052,0.516021
0.015107,0.515258
0.015161,0.514686
0.015216,0.514114
0.015270,0.513350
0.015325,0.512778
0.015379,0.512206
0.015434,0.511443
0.015488,0.511061
0.015543,0.510298
0.015597,0.509535
0.015652,0.508963
0.015706,0.508391
0.015761,0.507818
0.015816,0.507246
0.015870,0.506483
0.015925,0.505911
0.015979,0.505338
0.016034,0.504766
0.016088,0.504194
0.016143,0.503431
0.016197,0.502668
0.016252,0.502286
0.016306,0.501714
0.016361,0.501141
0.016415,0.500378
0.016470,0.499806
0.016524,0.499234
0.016579,0.498661
0.016634,0.498089
0.016688,0.497326
0.016743,0.496754
0.016797,0.496182
0.016852,0.495800
0.016906,0.495228
0.016961,0.494655
0.017015,0.493892
0.017070,0.493320
0.017124,0.492748
0.017179,0.492175
0.017233,0.491603
0.017288,0.491031
0.017343,0.490459
0.017397,0.489886
0.017452,0.489314
0.017506,0.488742
0.017561,0.488169
0.017615,0.487788
0.017670,0.487025
0.017724,0.486643
0.017779,0.486071
0.017833,0.485499
0.017888,0.484736
0.017942,0.484354
0.017997,0.483782
0.018051,0.483209
0.018106,0.482637
0.018161,0.482065
0.018215,0.481493
0.018270,0.480920
0.018324,0.480539
0.018379,0.479966
0.018433,0.479394
0.018488,0.478822
0.018542,0.478250
0.018597,0.477677
0.018651,0.477105
0.018706,0.476723
0.018760,0.476151
0.018815,0.475579
0.018870,0.475007
0.018924,0.474625
0.018979,0.474053
0.019033,0.473480
0.019088,0.472908
0.019142,0.472336
0.019197,0.471954
0.019251,0.471382
0.019306,0.470810
0.019360,0.470428
