# OCP data for Sony LFP positive electrode, lithiation
# sto,ocp
0.016411,3.412629
0.016466,3.412629
0.016522,3.412629
0.016577,3.412438
0.016633,3.412438
0.016688,3.412247
0.016744,3.412247
0.016799,3.412247
0.016854,3.412057
0.016910,3.412057
0.016965,3.411866
0.017021,3.411866
0.017076,3.411676
0.017132,3.411676
0.017187,3.411676
0.017242,3.411676
0.017298,3.411676
0.017353,3.411676
0.017409,3.411485
0.017464,3.411485
0.017520,3.411485
0.017575,3.411295
0.017631,3.411295
0.017686,3.411295
0.017741,3.411295
0.017797,3.411295
0.017852,3.411104
0.017908,3.411104
0.017963,3.411104
0.018019,3.411104
0.018074,3.410913
0.018130,3.410913
0.018185,3.410913
0.018240,3.410723
0.018296,3.410723
0.018351,3.410532
0.018407,3.410723
0.018462,3.410532
0.018518,3.410532
0.018573,3.410342
0.018629,3.410342
0.018684,3.410342
0.018739,3.410151
0.018795,3.410151
0.018850,3.410151
0.018906,3.410151
0.018961,3.410151
0.019017,3.410151
0.019072,3.410151
0.019127,3.410151
0.019183,3.409961
0.019238,3.409961
0.019294,3.409961
0.019349,3.409961
0.019405,3.409961
0.019460,3.409961
0.019516,3.409961
0.019571,3.409961
0.019626,3.409961
0.019682,3.409770
0.019737,3.409770
0.019793,3.409770
0.019848,3.409770
0.019904,3.409770
0.019959,3.409770
0.020015,3.409770
0.020070,3.409579
0.020125,3.409770
0.020181,3.409579
0.020236,3.409579
0.020292,3.409579
0.020347,3.409579
0.020403,3.409579
0.020458,3.409579
0.020513,3.409579
0.020569,3.409579
0.020624,3.409389
0.020680,3.409579
0.020735,3.409389
0.020791,3.409389
0.020846,3.409389
0.020902,3.409389
0.020957,3.409389
0.021012,3.409389
0.021068,3.409389
0.021123,3.409389
0.021179,3.409389
0.021234,3.409389
0.021290,3.409389
0.021345,3.409389
0.021401,3.409389
0.021456,3.409389
0.021511,3.409389
0.021567,3.409389
0.021622,3.409389
0.021678,3.409198
0.021733,3.409198
0.021789,3.409198
0.021844,3.409198
0.021900,3.409198
0.021955,3.409198
0.022010,3.409198
0.022066,3.409198
0.022121,3.409198
0.022177,3.409198
0.022232,3.409198
0.022288,3.409198
0.022343,3.409198
0.022399,3.409198
0.022454,3.409198
0.022509,3.409198
0.022565,3.409198
0.022620,3.409198
0.022676,3.409198
0.022731,3.409198
0.022787,3.409198
0.022842,3.409198
0.022898,3.409008
0.022953,3.409198
0.023008,3.409198
0.023064,3.409198
0.023119,3.409198
0.023175,3.409198
0.023230,3.409198
0.023286,3.409198
0.023341,3.409198
0.023397,3.409198
0.023452,3.409198
0.023507,3.409198
0.023563,3.409198
0.023618,3.409198
0.023674,3.409198
0.023729,3.409008
0.023785,3.409008
0.023840,3.409198
0.023896,3.409008
0.023951,3.409198
0.024006,3.409008
0.024062,3.409198
0.024117,3.409198
0.024173,3.409198
0.024228,3.409008
0.024284,3.409008
0.024339,3.409008
0.024395,3.409008
0.024450,3.409008
0.024505,3.409008
0.024561,3.409008
0.024616,3.409008
0.024672,3.409198
0.024727,3.409008
0.024783,3.409198
0.024838,3.409008
0.024894,3.409198
0.024949,3.409008
0.025004,3.409008
0.025060,3.409198
0.025115,3.409008
0.025171,3.409008
0.025226,3.409008
0.025282,3.409198
0.025337,3.409008
0.025393,3.409198
0.025448,3.409198
0.025503,3.409198
0.025559,3.409008
0.025614,3.409198
0.025670,3.409198
0.025725,3.409198
0.025781,3.409008
0.025836,3.409198
0.025892,3.409198
0.025947,3.409198
0.026002,3.409198
0.026058,3.409008
0.026113,3.409198
0.026169,3.409198
0.026224,3.409198
0.026280,3.409198
0.026335,3.409008
0.026391,3.409198
0.026446,3.409008
0.026501,3.409198
0.026557,3.409198
0.026612,3.409198
0.026668,3.409198
0.026723,3.409198
0.026779,3.409198
0.026834,3.409198
0.026890,3.409198
0.026945,3.409198
0.027000,3.409198
0.027056,3.409198
0.027111,3.409198
0.027167,3.409198
0.027222,3.409198
0.027278,3.409198
0.027333,3.409198
0.027389,3.409198
0.027444,3.409198
0.027499,3.409198
0.027555,3.409198
0.027610,3.409198
0.027666,3.409198
0.027721,3.409198
0.027777,3.409198
0.027832,3.409198
0.027888,3.409198
0.027943,3.409198
0.027998,3.409198
0.028054,3.409198
0.028109,3.409198
0.028165,3.409198
0.028220,3.409198
0.028276,3.409198
0.028331,3.409198
0.028386,3.409389
0.028442,3.409198
0.028497,3.409198
0.028553,3.409198
0.028608,3.409198
0.028664,3.409198
0.028719,3.409198
0.028775,3.409198
0.028830,3.409198
0.028885,3.409198
0.028941,3.409389
0.028996,3.409198
0.029052,3.409389
0.029107,3.409198
0.029163,3.409389
0.029218,3.409198
0.029274,3.409389
0.029329,3.409389
0.029384,3.409198
0.029440,3.409389
0.029495,3.409198
0.029551,3.409389
0.029606,3.409198
0.029662,3.409198
0.029717,3.409389
0.029772,3.409389
0.029828,3.409389
0.029883,3.409389
0.029939,3.409389
0.029994,3.409389
0.030050,3.409389
0.030105,3.409389
0.030161,3.409389
0.030216,3.409389
0.030271,3.409389
0.030327,3.409389
0.030382,3.409389
0.030438,3.409389
0.030493,3.409389
0.030549,3.409389
0.030604,3.409389
0.030660,3.409389
0.030715,3.409389
0.030770,3.409389
0.030826,3.409389
0.030881,3.409389
0.030937,3.409389
0.030992,3.409389
0.031048,3.409389
0.031103,3.409389
0.031159,3.409389
0.031214,3.409389
0.031269,3.409389
0.031325,3.409389
0.031380,3.409389
0.031436,3.409389
0.031491,3.409389
0.031547,3.409389
0.031602,3.409389
0.031658,3.409389
0.031713,3.409389
0.031768,3.409389
0.031824,3.409389
0.031879,3.409389
0.031935,3.409389
0.031990,3.409389
0.032046,3.409389
0.032101,3.409389
0.032156,3.409389
0.032212,3.409389
0.032267,3.409389
0.032323,3.409389
0.032378,3.409389
0.032434,3.409389
0.032489,3.409579
0.032545,3.409389
0.032600,3.409579
0.032655,3.409389
0.032711,3.409389
0.032766,3.409579
0.032822,3.409579
0.032877,3.409579
0.032933,3.409389
0.032988,3.409579
0.033044,3.409579
0.033099,3.409579
0.033154,3.409579
0.033210,3.409389
0.033265,3.409389
0.033321,3.409579
0.033376,3.409579
0.033432,3.409579
0.033487,3.409579
0.033543,3.409579
0.033598,3.409389
0.033653,3.409579
0.033709,3.409579
0.033764,3.409579
0.033820,3.409579
0.033875,3.409579
0.033931,3.409389
0.033986,3.409579
0.034042,3.409579
0.034097,3.409579
0.034152,3.409579
0.034208,3.409579
0.034263,3.409579
0.034319,3.409579
0.034374,3.409579
0.034430,3.409579
0.034485,3.409579
0.034540,3.409579
0.034596,3.409579
0.034651,3.409579
0.034707,3.409579
0.034762,3.409579
0.034818,3.409579
0.034873,3.409579
0.034929,3.409579
0.034984,3.409579
0.035039,3.409579
0.035095,3.409579
0.035150,3.409579
0.035206,3.409579
0.035261,3.409579
0.035317,3.409579
0.035372,3.409579
0.035428,3.409579
0.035483,3.409579
0.035538,3.409579
0.035594,3.409579
0.035649,3.409579
